Player,#,S,POS,TOT
Devon Williams,D09,*,MLB,59
Matt Kingsbury,D49,,WLB,23
John Nestor,D17,*,LCB,60
Emmanuel Karmo,D02,,MLB,17
Darius Green,D12,,SCB,28
Nate Becker,D89,,DLT,16
Karter Menz,D11,,ROLB,20
Rushawn Lawrence,D16,,DLT,42
Jeff Roberson,D20,,MLB,1
Anthony Smith,D00,*,DRE,62
Za'Quan Bryan,D04,*,RCB,55
Jaxon Howard,D01,*,LOLB,42
Joey Gerlach,D19,,ROLB,2
Maverick Baranowski,D06,*,MLB,55
Garrison Monroe,D23,,SS,10
Lucas Finnessy,D46,,DRE,6
Jai'Onte' McMillan,D24,,SCB,11
Koi Perich,D03,*,SS,67
Aidan Gousby,D07,*,FS,65
Deven Eastern,D91,*,NT,40
Mike Gerald,D13,,RCB,17
Jalen Logan-Redding,D97,*,DLT,24
Kerry Brown,D14,*,SCB,15
