Player,#,S,POS,TOT
Maverick Baranowski,D06,*,MLB,39
Garrison Monroe,D23,,SS,4
Anthony Smith,D00,*,DLE,35
Devon Williams,D09,*,MLB,37
Za'Quan Bryan,D04,*,RCB,44
Jaxon Howard,D01,*,ROLB,24
Joey Gerlach,D19,,WLB,4
Emmanuel Karmo,D02,,ROLB,9
Karter Menz,D11,,LOLB,11
Jalen Logan-Redding,D97,*,DRT,31
Aidan Gousby,D07,*,SS,40
Koi Perich,D03,*,SS,44
Lucas Finnessy,D46,,DLE,9
Nate Becker,D89,,NT,10
Matt Kingsbury,D49,,WLB,9
Deven Eastern,D91,*,NT,34
Rushawn Lawrence,D16,,DLT,13
John Nestor,D17,*,LCB,44
Kerry Brown,D14,*,SS,43
