Player,#,S,POS,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Mason Carrier,D48,,ST,21,1,11,8,1,0,0
Joey Gerlach,D19,,ST,20,1,11,7,1,0,0
Emmanuel Karmo,D02,,ST,9,0,9,0,0,0,0
Derik LeCaptain,D35,,ST,20,1,11,7,1,0,0
Rhyland Kelly,D18,,ST,14,1,11,2,0,0,0
Jeff Roberson,D20,,ST,12,0,11,1,0,0,0
Matt Kingsbury,D49,,ST,21,1,11,8,1,0,0
Tre Berry,22,,ST,11,0,11,0,0,0,0
Alan Soukup,S80,,LS,11,0,0,0,1,0,10
Garrison Monroe,D23,,ST,21,1,11,8,1,0,0
Jaxon Howard,D01,,ST,8,0,0,8,0,0,0
Kerry Brown,D14,,ST,6,0,0,6,0,0,0
Evan Redding,D22,,ST,7,0,0,7,0,0,0
Dylan Ray,73,,ST,10,0,0,0,0,0,10
Nate Becker,D89,,ST,12,0,0,1,1,0,10
Ashton Beers,78,,ST,7,0,0,0,0,0,7
Greg Johnson,65,,ST,7,0,0,0,0,0,7
Marcellus Marshall,74,,ST,8,0,0,0,0,0,8
Jai'Onte' McMillan,D24,,ST,14,0,11,3,0,0,0
Aluma Nkele,70,,ST,10,0,0,0,0,0,10
Frank Bierman,44,,ST,8,0,0,0,0,0,8
Jameson Geers,86,,ST,8,0,0,0,0,0,8
Za'Quan Bryan,D04,,ST,5,0,0,5,0,0,0
Jerome Williams,55,,ST,3,0,0,0,0,3,0
Reese Tripp,76,,ST,3,0,0,0,0,0,3
John Nestor,D17,,ST,5,0,0,5,0,0,0
Tom Weston,S42,,P,11,0,0,0,1,0,10
Brady Denaburg,S92,,K,16,0,8,0,0,0,8
Harrison Brun,D33,,ST,3,1,2,0,0,0,0
Pierce Walsh,19,,ST,3,1,0,0,0,2,0
Drew Biber,87,,ST,4,1,0,0,1,0,2
Brett Carroll,56,,ST,2,0,0,0,0,0,2
Simon Seidl,D27,,ST,2,0,0,1,1,0,0
Ethan Stendel,D43,,ST,1,0,0,0,1,0,0
Daniel Jackson,S36,,K,5,0,3,0,0,0,2
Naiim Parrish,D21,,ST,1,0,0,0,1,0,0
Koi Perich,D03,,ST,7,0,0,7,0,0,0
Jacob Simpson,88,,ST,1,1,0,0,0,0,0
Jaylen Bowden,D05,,ST,1,0,0,0,1,0,0
Quentin Redding,81,,ST,2,1,0,1,0,0,0
Rushawn Lawrence,D16,,ST,1,0,0,0,1,0,0
