Player,#,S,POS,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Mason Carrier,D48,,ST,18,3,6,6,3,0,0
Alan Soukup,S80,,LS,8,0,0,0,3,0,5
Za'Quan Bryan,D04,,ST,10,0,0,7,0,3,0
Garrison Monroe,D23,,ST,16,3,6,6,1,0,0
Matt Kingsbury,D49,,ST,19,3,6,7,3,0,0
John Nestor,D17,,ST,10,0,0,7,0,3,0
Joey Gerlach,D19,,ST,18,3,6,6,3,0,0
Jaxon Howard,D01,,ST,8,0,0,7,0,1,0
Kerry Brown,D14,,ST,10,0,0,7,0,3,0
Derik LeCaptain,D35,,ST,18,3,6,6,3,0,0
Emmanuel Karmo,D02,,ST,6,0,6,0,0,0,0
Ashton Beers,78,,ST,5,0,0,0,0,0,5
Tre Berry,22,,ST,6,0,0,6,0,0,0
Greg Johnson,65,,ST,5,0,0,0,0,0,5
Marcellus Marshall,74,,ST,5,0,0,0,0,0,5
Jeff Roberson,D20,,ST,6,0,6,0,0,0,0
Dylan Ray,73,,ST,5,0,0,0,0,0,5
Jameson Geers,86,,ST,11,3,0,0,3,0,5
Aidan Gousby,D07,,ST,10,0,6,1,0,3,0
Tony Nelson,59,,ST,5,0,0,0,0,0,5
Aluma Nkele,70,,ST,5,0,0,0,0,0,5
Tom Weston,S42,,P,8,0,0,0,3,0,5
Frank Bierman,44,,ST,8,3,0,0,0,0,5
Anthony Smith,D00,,ST,4,0,0,1,0,3,0
Jacob Simpson,88,,ST,3,3,0,0,0,0,0
Koi Perich,D03,,ST,13,3,0,7,0,3,0
Brady Denaburg,S92,,K,11,0,6,0,0,0,5
Maverick Baranowski,D06,,ST,7,0,0,1,3,3,0
Jalen Logan-Redding,D97,,ST,3,0,0,1,0,2,0
Karter Menz,D11,,ST,2,0,0,0,0,2,0
Drew Biber,87,,ST,3,3,0,0,0,0,0
Rushawn Lawrence,D16,,ST,1,0,0,0,0,1,0
Deven Eastern,D91,,ST,4,0,0,1,0,3,0
Logan Loya,17,,ST,2,0,0,2,0,0,0
Kenric Lanier II,15,,ST,2,0,0,2,0,0,0
Devon Williams,D09,,ST,6,0,0,3,3,0,0
Rhyland Kelly,D18,,ST,16,3,6,6,1,0,0
