Player,#,S,POS,TOT
Drake Lindsey,5,*,QB,80
Dylan Ray,73,*,RT,80
Darius Taylor,1,*,HB,63
Javon Tracy,11,,LWR,37
Greg Johnson,65,*,LG,80
Koi Perich,D03,,RWR,7
Ashton Beers,78,*,C,80
Frank Bierman,44,*,TE-L,17
Le'Meke Brockington,0,*,RWR,53
Nathan Roy,50,*,LT,80
Jameson Geers,86,*,TE-L,60
A.J. Turner,2,,HB,7
Pierce Walsh,19,,TE-L,29
Logan Loya,17,,SLWR,25
Drew Biber,87,,TE-R,33
Jalen Smith,8,*,RWR,31
Marcellus Marshall,74,*,RG,80
Kenric Lanier II,15,,LWR,28
Cam Davis,23,,HB,10
