Week,Opponent,Date,Final_Score_Team,Final_Score_Opponent,Home_Away,Offense_Snaps,Defense_Snaps
1,TULGRW,Sat Aug 30,3,23,Away,64,76
2,WESTIL,Fri Sep 05,42,7,Home,74,51
3,OUDUCK,Sat Sep 13,14,34,Home,60,57
5,UCLABR,Sat Sep 27,17,14,Home,62,59
6,ULMWAR,Sat Oct 04,42,7,Home,75,55

