Category,Jersey,Player_Name,Attempts,Returns,Yards,YPA,TDs
Field_Goals,S82,Jack Olsen,4,,,,
Field_Goals,S11,Luke Akers,3,,,,
Kickoffs,S11,Luke Akers,21,,,,
Kickoffs,S94,Henry Helms,8,,,,
Kickoffs,S92,Nikola Dugandzic,2,,,,
Punting,S11,Luke Akers,15,,,,
Kick_Returns,84,Hunter Welcing,2,2,13,6.5,0
Kick_Returns,06,Joseph Himon II,2,2,62,31.0,0
Punt_Returns,19,Drew Wagner,7,7,8,1.1,0
