Week,Opponent,Date,Final_Score_Team,Final_Score_Opponent,Home_Away,Offense_Snaps,Defense_Snaps,Special_Teams_Snaps
1,COLO STATE,Sat Aug 30th,38,21,Away,76,62,0
2,UC DAVIS,Sat Sep 6th,70,10,Away,78,55,0
3,BYE WEEK,,,,,,,
4,WASH STATE,Sat Sep 20th,59,24,Home,53,68,0
5,OHIO STATE,Sat Sep 27th,6,24,Away,53,64,0
