Week,Opponent,Date,Final_Score_Team,Final_Score_Opponent,Home_Away,Offense_Snaps,Defense_Snaps,Special_Teams_Snaps
1,FAU,Sat Aug 30th,44,17,Away,64,98,0
2,N ILLINOIS,Sat Sep 6th,69,0,Away,63,71,0
3,TOWSON,Sat Sep 13th,36,17,Away,51,59,0
4,WISCONSIN,Sat Sep 20th,44,31,Home,57,79,0
