Week,Opponent,Date,Final_Score_Team,Final_Score_Opponent,Home_Away,Offense_Snaps,Defense_Snaps
1,MONSTA,Sat Aug 30,59,13,Home,66,59
2,OKSTAT,Sat Sep 06,69,3,Home,66,62
3,NORTHW,Sat Sep 13,34,14,Away,57,60
4,OSTATE,Sat Sep 20,41,7,Home,80,49
5,PENNST,Sat Sep 27,30,24,Away,80,60
7,INDHOO,Sat Oct 11,20,30,Home,65,72

