Week,Opponent,Date,Final_Score_Team,Final_Score_Opponent,Home_Away,Offense_Snaps,Defense_Snaps
1,WESTMI,Fri Aug 29,23,6,Home,70,58
2,BCEAGL,Sat Sep 06,42,40,Home,70,73
3,YOUNGS,Sat Sep 13,41,24,Home,63,61
4,USCTRO,Sun Sep 21,31,45,Away,60,67
6,NEBRAS,Sat Oct 04,27,38,Away,72,56
7,UCLABR,Sat Oct 11,13,38,Home,61,71
8,INDHOO,Sat Oct 18,13,38,Away,65,58
9,MICHIG,Sat Oct 25,20,31,Home,77,69
