Week,Opponent,Date,Final_Score_Team,Final_Score_Opponent,Home_Away,Offense_Snaps,Defense_Snaps,Special_Teams_Snaps
1,Rutgers,Ohio,1,Thu Aug 28th,34,31,0,61
2,Rutgers,Miami OH,2,Sat Sep 6th,45,17,0,82
3,Rutgers,Norfolk State,3,Sat Sep 13th,60,10,0,62
4,Rutgers,Iowa,4,Fri Sep 19th,28,38,0,72
