Week,Opponent,Date,Final_Score_Team,Final_Score_Opponent,Home_Away,Offense_Snaps,Defense_Snaps
1,OHIOBO,Thu Aug 28,34,31,Home,61,62
2,MIAMIO,Sat Sep 06,45,17,Home,82,48
3,NORFOL,Sat Sep 13,60,10,Home,85,52
4,IOWAHA,Sat Sep 20,28,38,Home,72,59
5,MINNES,Sat Sep 27,28,31,Away,77,61
7,UWHUSK,Sat Oct 11,19,38,Away,82,59
