Category,Jersey,Player_Name,Attempts,Returns,Yards,YPA,TDs
Field_Goals,S44,Jai Patel,11,,,,
Field_Goals,S29,Dane Pizzaro,1,,,,
Kickoffs,S29,Dane Pizzaro,1,,,,
Kickoffs,S93,Jack Scullion,40,,,,
Punting,S94,Jakob Anderson,11,,,,
Kick_Returns,20,Ja'shon Benjamin,3,3,64,21.3,0
Punt_Returns,00,DT Sheffield,2,2,12,6.0,0
Kick_Returns,02,Ben Black,4,4,85,21.3,0
