Week,Opponent,Date,Final_Score_Team,Final_Score_Opponent,Home_Away,Offense_Snaps,Defense_Snaps
1,BUFFBU,Fri Aug 29,23,10,Home,80,44
2,NWSTAT,Sat Sep 06,66,0,Home,64,37
3,CALIFO,Sun Sep 14,14,27,Away,73,67
5,RUTGER,Sat Sep 27,31,28,Home,61,77
6,OHIOST,Sat Oct 04,3,42,Away,51,59
7,PURBOI,Sat Oct 11,27,20,Home,66,88
8,NEBRAS,Sat Oct 18,24,6,Home,59,55
9,IOWAHA,Sat Oct 25,3,41,Away,53,56
