Player,#,S,POS,TOT
Athan Kaliakmanis,16,*,QB,61
Antwan Raymond,3,*,HB,32
Ian Strong,9,*,LWR,60
CJ Campbell Jr.,5,,HB,19
KJ Duff,8,*,RWR,61
Ja'shon Benjamin,20,,HB,10
Gus Zilinskas,59,*,C,61
Kenny Fletcher Jr.,12,*,TER,39
Kwabena Asamoah,69,*,RG,61
DT Sheffield,0,*,SRWR,49
Dantae Chin,76,*,LT,54
Taj White,54,*,RT,61
Bryan Felter,65,*,LG,61
Tyler Needham,56,,LT,7
Ben Black,17,,RWR,1
Colin Weber,18,,TEL,40
