Player,#,S,POS,TOT
Jacobie Henderson,D10,*,LCB,43
Moses Walker,D02,*,WLB,51
Dariel Djabome,D08,*,MLB,62
Eric O'Neill,D99,*,DRE,38
Al-Shadee Salaam,D21,,RCB,41
Zaire Angoy,D55,*,DLT,32
Darold DeNgohe,D92,,NT,8
Chris Joines,D20,,SS,2
Jordan Thompson,D14,,LOLB,32
Bo Mascoe,D03,*,LCB,41
Keshon Griffin,D96,*,NT,38
Henry Hughes Jr.,D95,,NT,7
Jett Elad,D09,*,SS,62
Oliver Billotte,D97,,DLT,22
Jordan Walker,D01,*,ROLB,40
Bradley Weaver,D94,,DLE,31
Cam Miller,D07,*,SCB,62
Kaj Sanders,D05,*,SS,60
