Jersey,Player,Punt Returns,Punt Return Yards,Punt Return YPA,Kick Returns,Kick Return Yards,Kick Return YPA
20,Ja'shon Benjamin,0,0,0,3,64,21.3
0,DT Sheffield,1,7,7,0,0,0
17,Ben Black,0,0,0,3,61,20.3
