Player,#,S,POS,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Cam Miller,D07,,ST,8,0,0,3,0,5,0
Jesse Ofurie,D16,,ST,9,0,7,2,0,0,0
Kaj Sanders,D05,,ST,7,0,0,2,0,5,0
Dino Kaliakmanis,83,,ST,14,6,7,0,1,0,0
Sebastian Jusma,D29,,ST,7,0,7,0,0,0,0
Chris Joines,D20,,ST,16,6,7,2,1,0,0
Zilan Williams,D15,,ST,13,6,7,0,0,0,0
Austin Dean,D47,,ST,13,6,7,0,0,0,0
Michael O'Connor,S99,,LS,7,0,0,0,1,0,6
Michael Robinson II,31,,ST,9,0,7,2,0,0,0
Terrence Salami,73,,ST,6,0,0,0,0,0,6
John Stone,71,,ST,6,0,0,0,0,0,6
Jordan Thompson,D14,,ST,9,0,0,1,0,2,6
Kwabena Asamoah,69,,ST,6,0,0,0,0,0,6
Jordan Walker,D01,,ST,12,0,0,1,1,4,6
Jett Elad,D09,,ST,7,0,0,3,0,4,0
Keshon Griffin,D96,,ST,8,0,0,0,0,2,6
Timmy Ward,D38,,ST,17,6,7,2,1,1,0
Dantae Chin,76,,ST,6,0,0,0,0,0,6
Bryan Felter,65,,ST,6,0,0,0,0,0,6
Al-Shadee Salaam,D21,,ST,5,0,0,1,0,4,0
Dariel Djabome,D08,,ST,7,0,0,1,1,5,0
Bo Mascoe,D03,,ST,6,0,0,2,0,4,0
Riley McCann,S22,,K,6,0,0,0,0,0,6
Eric O'Neill,D99,,ST,4,0,0,1,0,3,0
Ben Black,17,,ST,9,6,0,2,1,0,0
Jacobie Henderson,D10,,ST,3,0,0,1,0,2,0
Dylan Braithwaite,67,,ST,2,0,2,0,0,0,0
Moses Walker,D02,,ST,7,0,0,1,1,5,0
Bradley Weaver,D94,,ST,2,0,0,1,0,1,0
Colin Weber,18,,ST,7,6,0,0,1,0,0
Jackson Gister,82,,ST,7,6,0,0,1,0,0
Noah Shaw,D34,,ST,1,0,1,0,0,0,0
Jack Scullion,S93,,K,7,0,7,0,0,0,0
Jakob Anderson,S94,,P,1,0,0,0,1,0,0
DT Sheffield,0,,ST,3,0,0,3,0,0,0
Ian Strong,9,,ST,0,0,0,0,0,0,0
Jai Patel,S44,,K,6,0,0,0,0,0,6
Darold DeNgohe,D92,,ST,1,0,0,0,0,1,0
Ja'shon Benjamin,20,,ST,6,6,0,0,0,0,0
Oliver Billotte,D97,,ST,1,0,0,0,0,1,0
Zaire Angoy,D55,,ST,4,0,0,0,0,4,0
Henry Hughes Jr.,D95,,ST,2,0,0,0,0,2,0
Sam Robinson,D04,,ST,12,6,6,0,0,0,0
Isaiah Crumpler,D26,,ST,13,6,5,2,0,0,0
