Player,#,S,POS,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Michael Robinson II,31,,ST,15,4,8,3,0,0,0
Timmy Ward,D38,,ST,16,4,8,3,1,0,0
Michael O'Connor,S99,,LS,8,0,0,0,1,0,7
Jesse Ofurie,D16,,ST,15,4,8,3,0,0,0
Chris Joines,D20,,ST,16,4,8,3,1,0,0
Austin Dean,D47,,ST,14,4,8,2,0,0,0
Sebastian Jusma,D29,,ST,8,0,8,0,0,0,0
Terrence Salami,73,,ST,7,0,0,0,0,0,7
John Stone,71,,ST,7,0,0,0,0,0,7
Kwabena Asamoah,69,,ST,7,0,0,0,0,0,7
Dylan Braithwaite,67,,ST,6,0,6,0,0,0,0
Zilan Williams,D15,,ST,12,4,8,0,0,0,0
Dino Kaliakmanis,83,,ST,16,4,8,3,1,0,0
Jordan Walker,D01,,ST,10,0,0,1,1,1,7
Jordan Thompson,D14,,ST,9,0,0,0,0,2,7
Ben Black,17,,ST,14,4,8,1,1,0,0
Bryan Felter,65,,ST,7,0,0,0,0,0,7
Kaj Sanders,D05,,ST,6,0,0,3,0,3,0
Jett Elad,D09,,ST,5,0,0,2,0,3,0
Dantae Chin,76,,ST,4,0,0,0,0,0,4
Keshon Griffin,D96,,ST,9,0,0,0,0,2,7
Bo Mascoe,D03,,ST,6,0,0,3,0,3,0
Cam Miller,D07,,ST,5,0,0,2,0,3,0
Tyler Needham,56,,ST,3,0,0,0,0,0,3
Al-Shadee Salaam,D21,,ST,3,0,0,2,0,1,0
Riley McCann,S22,,K,7,0,0,0,0,0,7
Sam Robinson,D04,,ST,2,0,0,2,0,0,0
Isaiah Crumpler,D26,,ST,2,0,2,0,0,0,0
Dariel Djabome,D08,,ST,5,0,0,1,1,3,0
Jacobie Henderson,D10,,ST,3,0,0,1,0,2,0
Zaire Angoy,D55,,ST,3,0,0,1,0,2,0
Jackson Gister,82,,ST,5,4,0,0,1,0,0
Bradley Weaver,D94,,ST,3,0,0,1,0,2,0
John Insinga,D33,,ST,1,0,0,1,0,0,0
Jack Scullion,S93,,K,8,0,8,0,0,0,0
Jakob Anderson,S94,,P,1,0,0,0,1,0,0
DT Sheffield,0,,ST,4,0,0,4,0,0,0
Darold DeNgohe,D92,,ST,1,0,0,1,0,0,0
Abram Wright,D06,,ST,1,0,0,1,0,0,0
Jai Patel,S44,,K,7,0,0,0,0,0,7
Eric O'Neill,D99,,ST,1,0,0,0,0,1,0
Ja'shon Benjamin,20,,ST,4,4,0,0,0,0,0
Oliver Billotte,D97,,ST,1,0,0,0,0,1,0
Henry Hughes Jr.,D95,,ST,1,0,0,0,0,1,0
Moses Walker,D02,,ST,4,0,0,0,1,3,0
Colin Weber,18,,ST,5,4,0,0,1,0,0
