Player,#,S,POS,TOT
Bo Mascoe,D03,*,LCB,33
Oliver Billotte,D97,,DLT,17
Djibril Abdou Rahman,D91,,DLE,8
Eric O'Neill,D99,*,DLE,28
Abram Wright,D06,,WLB,16
Farell Gnago,D90,,DRE,4
Zaire Angoy,D55,*,DRT,14
Dariel Djabome,D08,*,MLB,44
Jordan Walker,D01,*,ROLB,29
Bradley Weaver,D94,,LE,27
Jordan Thompson,D14,,ROLB,23
Austin Dean,D47,,MLB,5
Chris Joines,D20,,SS,4
Zilan Williams,D15,,LOLB,4
Sam Robinson,D04,,WLB,4
Darold DeNgohe,D92,,DLT,9
Cam Miller,D07,*,SCB,42
Sebastian Jusma,D29,,SCB,4
Timmy Ward,D38,,SS,4
Kevin Levy,D24,,RCB,4
Kaj Sanders,D05,*,FS,44
Moses Walker,D02,*,WLB,26
Keshon Griffin,D96,*,NT,26
Al-Shadee Salaam,D21,,RCB,22
Jacobie Henderson,D10,*,RCB,36
Henry Hughes Jr.,D95,,DRT,7
Jett Elad,D09,*,FS,44
