Player,#,S,POS,TOT
Athan Kaliakmanis,16,*,QB,72
Ian Strong,9,*,LWR,69
KJ Duff,8,*,LWR,66
Bryan Felter,65,*,LG,72
Tyler Needham,56,*,LT,71
Antwan Raymond,3,*,HB,63
Kenny Fletcher Jr.,12,*,TE-L,55
Kwabena Asamoah,69,*,RG,72
DT Sheffield,0,*,SLWR,63
Moshood Giwa,74,,LT,1
John Stone,71,,LG,3
Terrence Salami,73,,C,3
Gus Zilinskas,59,*,C,72
Ja'shon Benjamin,20,,HB,9
Ben Black,17,,RWR,5
Taj White,54,*,RT,72
Logan Blake,11,,TE-R,2
Colin Weber,18,,TE-L,22
