Player,#,S,POS,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Jett Elad,D09,,ST,7,0,0,5,0,2,0
Kaj Sanders,D05,,ST,5,0,0,4,0,1,0
Isaiah Crumpler,D26,,ST,3,0,3,0,0,0,0
Dylan Braithwaite,67,,ST,12,0,9,3,0,0,0
Chris Joines,D20,,ST,17,3,9,4,0,1,0
Sebastian Jusma,D29,,ST,10,0,9,1,0,0,0
Terrence Salami,73,,ST,10,0,0,0,0,0,10
Moshood Giwa,74,,ST,10,0,0,0,0,0,10
Timmy Ward,D38,,ST,16,3,9,4,0,0,0
Sage Clawges,D27,,ST,8,0,8,0,0,0,0
Cam Miller,D07,,ST,7,0,0,5,0,2,0
John Stone,71,,ST,8,0,0,0,0,0,8
Keshon Griffin,D96,,ST,10,0,0,1,0,1,8
Logan Blake,11,,ST,10,0,0,0,0,0,10
Zilan Williams,D15,,ST,13,3,9,1,0,0,0
Austin Dean,D47,,ST,6,3,2,1,0,0,0
Bryan Felter,65,,ST,8,0,0,0,0,0,8
Bo Mascoe,D03,,ST,6,0,0,4,0,2,0
Michael Robinson II,31,,ST,13,3,9,1,0,0,0
Jordan Thompson,D14,,ST,8,0,0,0,0,1,7
Jesse Ofurie,D16,,ST,17,3,9,5,0,0,0
Eric O'Neill,D99,,ST,4,0,0,2,0,2,0
Jacobie Henderson,D10,,ST,4,0,0,2,0,2,0
Riley McCann,S22,,K,10,0,0,0,0,0,10
Oliver Billotte,D97,,ST,3,0,0,2,0,1,0
Sammy El Hadidi,S46,,LS,2,0,0,0,0,0,2
Al-Shadee Salaam,D21,,ST,3,0,0,3,0,0,0
Dariel Djabome,D08,,ST,4,0,0,2,0,2,0
Ben Rothhaar,24,,ST,2,0,2,0,0,0,0
Renick Dorilas,D12,,ST,3,0,2,1,0,0,0
Emir Stinette,61,,ST,2,0,0,0,0,0,2
Dane Pardridge,89,,ST,4,0,2,2,0,0,0
Isaiah Deloatch,D23,,ST,2,0,2,0,0,0,0
Sah'nye Degraffenreidt,14,,ST,2,0,2,0,0,0,0
Jordan Walker,D01,,ST,2,0,0,1,0,1,0
Justin Cesaire,79,,ST,2,0,0,0,0,0,2
Kevin Levy,D24,,ST,2,0,2,0,0,0,0
Moses Walker,D02,,ST,3,0,0,1,0,2,0
Latrell Noel,D35,,ST,2,0,2,0,0,0,0
Michael Thomas III,80,,ST,2,0,2,0,0,0,0
Jack Scullion,S93,,K,10,0,10,0,0,0,0
Wydeek Collier,D43,,ST,1,0,0,1,0,0,0
Kamar Archie,D36,,ST,1,0,0,1,0,0,0
DJ McClary,D13,,ST,1,0,0,1,0,0,0
Jyon Simon,D88,,ST,1,0,0,1,0,0,0
Sam Robinson,D04,,ST,1,0,0,1,0,0,0
Dane Pizzaro,S92,,K,3,0,1,0,0,0,2
Farell Gnago,D90,,ST,2,0,0,2,0,0,0
Raynor Andrews,75,,ST,2,0,0,0,0,0,2
Zach Aamland,70,,ST,2,0,0,0,0,0,2
Djibril Abdou Rahman,D91,,ST,1,0,0,1,0,0,0
DT Sheffield,0,,ST,5,0,0,5,0,0,0
Abram Wright,D06,,ST,1,0,0,1,0,0,0
Ja'shon Benjamin,20,,ST,3,3,0,0,0,0,0
Jai Patel,S44,,K,8,0,0,0,0,0,8
Bradley Weaver,D94,,ST,1,0,0,1,0,0,0
Colin Weber,18,,ST,3,3,0,0,0,0,0
Darold DeNgohe,D92,,ST,1,0,0,0,0,1,0
Zaire Angoy,D55,,ST,1,0,0,0,0,1,0
Jackson Gister,82,,ST,6,3,0,0,0,0,3
Dino Kaliakmanis,83,,ST,16,3,9,4,0,0,0
Ben Black,17,,ST,15,3,9,3,0,0,0
Michael O'Connor,S99,,LS,8,0,0,0,0,0,8
Kwabena Asamoah,69,,ST,8,0,0,0,0,0,8
