Category,Jersey,Player_Name,Attempts,Returns,Yards,YPA,TDs
Field_Goals,S35,Spencer Porath,7,,,,
Kickoffs,S93,Seth Turner,29,,,,
Punting,S38,Jack McCallister,16,,,,
Kick_Returns,02,Michael Jackson III,5,5,101,20.2,0
Punt_Returns,02,Michael Jackson III,4,4,7,1.8,0
Kick_Returns,22,Antonio Harris,3,3,57,19.0,0
