Week,Opponent,Date,Final_Score_Team,Final_Score_Opponent,Home_Away,Offense_Snaps,Defense_Snaps
1,BALLST,Sat Aug 30,31,0,Home,60,53
2,SOUILL,Sat Sep 06,34,17,Home,79,60
3,USCTRO,Sat Sep 13,17,33,Home,71,70
4,NOTRED,Sat Sep 20,30,56,Away,71,64
6,ILLINO,Sat Oct 04,27,43,Home,77,65

