Week,Opponent,Date,Final_Score_Team,Final_Score_Opponent,Home_Away,Offense_Snaps,Defense_Snaps
1,Example Team,MM/DD/YYYY,0,0,Home,0,0
2,Another Team,MM/DD/YYYY,0,0,Away,0,0
3,Third Team,MM/DD/YYYY,0,0,Home,0,0
4,Fourth Team,MM/DD/YYYY,0,0,Away,0,0
6,Sixth Team,MM/DD/YYYY,0,0,Home,0,0
